,name,unit,per_unit_value,brand,category,sub_category,sub_category2,vendor_price,price,is_offer_enable,offer_price,featured_image,short_resolation_image,type,keywords,alert_quantity,slug,sku,delivery_time,status,enable_stock,current_stock,description,shipping_charge,image1,image2,image3,image4,image5,image6
sevendaysnotes,News Cover Series Workbook Brown Notebook SN20201126,Piece,1,deshi-bazaar-book's-collections,home-&-decor,"media,-music-and-books",,66,80,0,,,,,"home-&-decor,media,-music-and-books",10,,,10080,active,1,100,,,,,,,,
sevendaysnotes,News Cover Series Workbook Brown & Grey Notebook SN20201126 2-Pack ,Piece,1,deshi-bazaar-book's-collections,home-&-decor,"media,-music-and-books",,133,160,0,,,,,"home-&-decor,media,-music-and-books",10,,,10080,active,1,100,,,,,,,,
sevendaysnotes,News Cover Series Workbook Brown & Silver Notebook  SN20201126 2-Pack,Piece,1,deshi-bazaar-book's-collections,home-&-decor,"media,-music-and-books",,133,160,0,,,,,"home-&-decor,media,-music-and-books",10,,,10080,active,1,100,,,,,,,,
sevendaysnotes,News Cover Series Workbook Grey & Silver Notebook SN20201126 2-Pack,Piece,1,deshi-bazaar-book's-collections,home-&-decor,"media,-music-and-books",,133,160,0,,,,,"home-&-decor,media,-music-and-books",10,,,10080,active,1,100,,,,,,,,
sevendaysnotes,News Cover Series Workbook Brown Grey & Silver Notebook SN20201126 3-Pack,Piece,1,deshi-bazaar-book's-collections,home-&-decor,"media,-music-and-books",,199,240,0,,,,,"home-&-decor,media,-music-and-books",10,,,10080,active,1,100,,,,,,,,
sevendaysnotes,Designer Series Dot-Grid Notebook Dot-Grid Print Cover SN202010125,Piece,1,deshi-bazaar-book's-collections,home-&-decor,"media,-music-and-books",,208,250,0,,,,,"home-&-decor,media,-music-and-books",10,,,10080,active,1,100,,,,,,,,
sevendaysnotes,Designer Series Dot-Grid Notebook Dot-Grid Print Cover with Pen SN,Piece,1,deshi-bazaar-book's-collections,home-&-decor,"media,-music-and-books",,232,280,0,,,,,"home-&-decor,media,-music-and-books",10,,,10080,active,1,100,,,,,,,,
sevendaysnotes,Designer Series Dot-Grid Notebook Dot-Grid Print Cover with Pencil ,Piece,1,deshi-bazaar-book's-collections,home-&-decor,"media,-music-and-books",,232,280,0,,,,,"home-&-decor,media,-music-and-books",10,,,10080,active,1,100,,,,,,,,
sevendaysnotes,Designer Series Graph Grid Notebook Graph-Grid Print Cover SN20,Piece,1,deshi-bazaar-book's-collections,home-&-decor,"media,-music-and-books",,208,250,0,,,,,"home-&-decor,media,-music-and-books",10,,,10080,active,1,100,,,,,,,,
sevendaysnotes,Designer Series Graph Grid Notebook Graph-Grid Print Cover with Pen,Piece,1,deshi-bazaar-book's-collections,home-&-decor,"media,-music-and-books",,232,280,0,,,,,"home-&-decor,media,-music-and-books",10,,,10080,active,1,100,,,,,,,,
sevendaysnotes,Designer Series Graph Grid Notebook Graph-Grid Print Cover with Pencil SN202,Piece,1,deshi-bazaar-book's-collections,home-&-decor,"media,-music-and-books",,232,280,0,,,,,"home-&-decor,media,-music-and-books",10,,,10080,active,1,100,,,,,,,,
